127.0.0.1, 2018-11-28 22:32:37, GET, /REVIEW_1/default/index, HTTP/1.1, 200, 0.081000
127.0.0.1, 2018-11-28 22:32:37, GET, /REVIEW_1/api/get_post_list, HTTP/1.1, 200, 0.041000
127.0.0.1, 2018-11-28 22:32:38, GET, /REVIEW_1/api/get_thumbers, HTTP/1.1, 200, 0.431000
127.0.0.1, 2018-11-28 22:32:38, GET, /favicon.ico, HTTP/1.1, 400, 0.003000
127.0.0.1, 2018-11-28 22:32:38, GET, /REVIEW_1/api/get_thumbers, HTTP/1.1, 200, 0.445000
127.0.0.1, 2018-11-28 22:32:38, GET, /REVIEW_1/api/get_thumbers, HTTP/1.1, 200, 0.475000
127.0.0.1, 2018-11-28 22:32:38, GET, /REVIEW_1/api/get_thumbers, HTTP/1.1, 200, 0.489000
127.0.0.1, 2018-11-28 22:32:38, GET, /REVIEW_1/api/get_thumbers, HTTP/1.1, 200, 0.521000
127.0.0.1, 2018-11-28 22:32:38, GET, /REVIEW_1/api/get_thumbers, HTTP/1.1, 200, 0.539000
127.0.0.1, 2018-11-28 22:32:39, GET, /REVIEW_1/api/get_reply_list, HTTP/1.1, 200, 0.032000
127.0.0.1, 2018-11-28 22:32:48, GET, /REVIEW_1/api/get_reply_list, HTTP/1.1, 200, 0.029000
127.0.0.1, 2018-11-28 22:33:50, POST, /admin/default/site, HTTP/1.1, 303, 0.590000
127.0.0.1, 2018-11-28 22:33:50, GET, /admin/default/site, HTTP/1.1, 200, 0.025000
127.0.0.1, 2018-11-28 22:33:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-28 22:33:52, GET, /REVIEW_2/default/index, HTTP/1.1, 200, 0.124000
127.0.0.1, 2018-11-28 22:33:52, GET, /REVIEW_2/static/css/stupid.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-28 22:33:52, GET, /REVIEW_2/static/css/custom.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-11-28 22:33:52, GET, /REVIEW_2/static/css/calendar.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-11-28 22:33:52, GET, /REVIEW_2/static/css/web2py.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-11-28 22:33:52, GET, /REVIEW_2/static/css/myapp.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-11-28 22:33:52, GET, /REVIEW_2/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-11-28 22:33:52, GET, /REVIEW_2/static/js/jquery.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-11-28 22:33:52, GET, /REVIEW_2/static/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-11-28 22:33:52, GET, /REVIEW_2/static/js/web2py.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-11-28 22:33:52, GET, /REVIEW_2/static/js/vue.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-11-28 22:33:52, GET, /REVIEW_2/static/js/default_index.js, HTTP/1.1, 200, 0.004000
